archive_name, National Archives and Records Administration
archive.host_country,USA
platform.name,Storis
platform.host_country,USA
document.id_within_archive,38547962
document.id_within_archive_type,National Archives Identifier
document.start_date,1957-06-09
document.end_date,1957-09-30
document.standardized_region_list,"north atlantic, arctic"
document.contact_person,Kevin Wood
document.rights_statement,CC0 Public Domain
